"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
1562,156,"Нижняя Салда",60.7095115169244,58.0620301775368,17.3,13,"условно комфортный климат",31,32,18,19,15,32,147,"https://api.индекс-городов.рф/uploads/city/emblem/1562/thumb_450_nizhnaya_salda.png","Свердловская область","Малый город"
1565,165,"Николаевск-на-Амуре",140.721968459624,53.1424587534857,17.9,13,"тяжелые климатические условия",25,32,22,19,26,33,157,"https://api.индекс-городов.рф/uploads/city/emblem/1565/thumb_453_nikolaevsk-na-amure.png","Хабаровский край","Малый город"
1591,91,"Няндома",40.209145722042,61.666748117633,19.1,13,"условно комфортный климат",25,24,18,26,19,30,142,"https://api.индекс-городов.рф/uploads/city/emblem/1591/thumb_479_nyandoma.png","Архангельская область","Малый город"
1621,119,"Перевоз",44.5425664889523,55.5945600465764,8.7,13,"условно комфортный климат",30,26,17,30,17,34,154,"https://api.индекс-городов.рф/uploads/city/emblem/1621/thumb_509_perevoz.png","Нижегородская область","Малый город"
1650,157,"Починок",32.4436749612648,54.405402502502,8.3,13,"условно комфортный климат",38,30,22,27,14,34,165,"https://api.индекс-городов.рф/uploads/city/emblem/1650/thumb_538_pochinok.png","Смоленская область","Малый город"
1656,109,"Приморско-Ахтарск",38.197129120505,46.0526864442818,32.3,12,"условно комфортный климат",28,26,23,11,29,34,151,"https://api.индекс-городов.рф/uploads/city/emblem/1656/thumb_544_primorsko_akhtarsk.png","Краснодарский край","Малый город"
1679,112,"Рыльск",34.69525430383,51.567706412386,16,13,"условно комфортный климат",34,31,20,31,27,34,177,"https://api.индекс-городов.рф/uploads/city/emblem/1679/thumb_567_Rilsk.png","Курская область","Малый город"
1683,152,"Сасово",41.9396251877413,54.3546063225125,23.8,12,"условно комфортный климат",31,34,31,14,30,40,180,"https://api.индекс-городов.рф/uploads/city/emblem/1683/thumb_571_Sasovo.png","Рязанская область","Малый город"
1712,89,"Славгород",78.643322257018,52.9829870394179,29.1,12,"условно комфортный климат",27,23,12,18,25,36,141,"https://api.индекс-городов.рф/uploads/city/emblem/1712/thumb_600_slavgrod.gif","Алтайский край","Малый город"
1738,127,"Спасск-Дальний",132.817086113771,44.5926498657233,39.8,12,"условно комфортный климат",33,24,17,20,26,29,149,"https://api.индекс-городов.рф/uploads/city/emblem/1738/thumb_626_spassk_dalny.png","Приморский край","Малый город"
1849,110,"Шарыпово",89.1778743492181,55.5354129207919,36.7,12,"условно комфортный климат",38,30,17,24,22,41,172,"https://api.индекс-городов.рф/uploads/city/emblem/1849/thumb_738_sharypovo.png","Красноярский край","Малый город"
1975,113,"Всеволожск",30.6575797522576,60.0092848914499,74.7,11,"условно комфортный климат",42,27,29,11,23,42,174,"https://api.индекс-городов.рф/uploads/city/emblem/1975/thumb_864_Vsevolozhsk.png","Ленинградская область","Средний город"
1766,156,"Тавда",65.3036167841629,58.0476336663033,32.6,12,"условно комфортный климат",23,26,14,14,25,38,140,"https://api.индекс-городов.рф/uploads/city/emblem/1766/thumb_654_Tavda.png","Свердловская область","Малый город"
